iqm_name,iqm_definition,image_type,measure_type
aor,"AFNI'S outlier ratio. Mean fraction of outliers per fMRI volume, from AFNI's 3dToutcount.<br>
Higher values indicate lower quality.",func,other
aqi,"AFNI's quality index. Mean quality index, from AFNI's 3dTqual.<br>
Values close to 0 indicate higher quality.",func,other
cjv,"Coefficient of joint variation between white matter and gray matter.<br>
Higher values indicate more head motion and/or intensity non-uniformity artifacts.",anat,noise
cnr,"Contrast-to-noise ratio, reflecting separation between GM & WM.<br>
Higher values indicate higher quality.",anat,noise
dummy_trs,Number of volumes in the beginning of the fMRI timeseries identified as non-steady state.,func,other
dvars_nstd,"DVARS is the average change in mean intensity between each pair of fMRI volumes in a series.<br>
Higher values indicate more dramatic changes (e.g., due to motion or spiking).",func,temporal
dvars_std,"DVARS is the average change in mean intensity between each pair of fMRI volumes in a series.<br>
Higher values indicate more dramatic changes (e.g., due to motion or spiking).",func,temporal
dvars_vstd,"DVARS is the average change in mean intensity between each pair of fMRI volumes in a series.<br>
Higher values indicate more dramatic changes (e.g., due to motion or spiking).",func,temporal
efc,"Shannon entropy-focus criterion.<br>
Higher values indicate more ghosting and/or head motion blurring. ",func,spatial
fber,"Foreground-background energy ratio: the variance of voxels inside the brain divided by the variance of voxels outside the brain.<br>
Higher values indicate higher quality.",func,spatial
fd_mean,"Mean framewise displacement: measure of subject head motion, which compares the motion between the current and previous volumes.<br>
Higher values indicate lower quality.",func,motion
fd_num,"Number of timepoints with framewise displacement >0.2mm.<br>
Higher values indicate lower quality.",func,motion
fd_perc,"Percent of timepoints with framewise displacement >0.2mm.<br>
Higher values indicate lower quality.",func,motion
fwhm_avg,"Image blurriness (full-width half-maximum).<br>
Higher values indicate a blurrier image.",func,spatial
fwhm_x,"Image blurriness (full-width half-maximum).<br>
Higher values indicate a blurrier image.",anat,spatial
fwhm_y,"Image blurriness (full-width half-maximum).<br>
Higher values indicate a blurrier image.",anat,spatial
fwhm_z,"Image blurriness (full-width half-maximum).<br>
Higher values indicate a blurrier image.",anat,spatial
gcor,"Global correlation: Average correlation of all pairs of voxel time series inside of the brain.<br>Illustrates differences between data due to motion/physiological noise/imaging artifacts.
<br>Values closer to zero are better.",func,temporal
gsr_x,"Ghost-to-signal ratio along the x or y encoding axes.<br>
Higher values indicate lower quality.",func,other
gsr_y,"Ghost-to-signal ratio along the x or y encoding axes.<br>
Higher values indicate lower quality.",func,other
